Autonomous Proof Discovery Pilot — Public Dataset,,,,,,,,,
"Public-language release of an audited pilot run: local open-source model, 8-hour unattended execution, consumer laptop, 0 human intervention.",,,,,,,,,
Problems,,Audited steps,,Accepted steps,,Proofs with no invalid inference,,Accepted theorem-level proofs,
Proofs with no rejected step,,Fully goal-complete proofs,,Fully robust proofs,,Agent-rejected routes,,Audit-rejected routes,
Novelty classification,,,,,,,,,
Run setting,A fully open-source language model produced the proof search record locally on commodity hardware with no human steering during the 8-hour run.,,,,,,,,
Measurement design,The same four step-level gates were tracked during discovery and then re-used in post-hoc audit. That makes the pilot a closed-loop inquiry record rather than a final-answer benchmark.,,,,,,,,
Dataset design,"The workbook preserves both positive steps and negative search output — invalid routes, deferred mechanisms, and explicit open bridges — instead of collapsing everything into one final score.",,,,,,,,
Scientific signal,"The near-ceiling rates on assumption compliance and inference validity, contrasted with much lower generalization robustness, sharply identify transfer rather than local derivation as the main bottleneck.",,,,,,,,
Value and read of the pilot,,,,,,,,,
Why it matters,"This pilot shows that a local open-source model can produce auditable proof-search structure, not just candidate final answers. It also produces reusable negative evidence for future training and evaluation.",,,,,,,,
Primary empirical read,"Outright logical breakdown is rare. Most losses come later, when a locally valid step fails to transport from a special or conditional setting to the full target.",,,,,,,,
Secondary empirical read,"Correct rejection is productive. Four rejected routes were screened out by the model itself, meaning the search generated durable boundary information rather than only failed attempts.",,,,,,,,
Theory generated here,"The pilot supports a simple working theory: complete proofs emerge when branch width collapses, late moves become forced, and the remaining step sequence is dominated by robust structural lemmas rather than local wins.",,,,,,,,
Metric dictionary,,,,,,,,,
Assumption compliance,The step stays within the stated assumptions and target setting.,,,,,,,,
Inference validity,The mathematics of the step is correct as written.,,,,,,,,
Goal completion,"The local objective of the step is actually achieved, not merely sketched or assumed.",,,,,,,,
Generalization robustness,The step remains useful when the argument is expanded from a local or special case to the full target.,,,,,,,,
Verdicts,Accepted = valid and goal-complete at the claimed scope. Partial = promising but unresolved. Rejected = ruled out. Deferred = plausible but insufficiently developed. Open = explicit unresolved bridge or conjecture. Mixed = algorithmic core accepted while one theoretical dependency stays partial.,,,,,,,,
Workbook guide,,,,,,,,,
Tactic Data,"The full 85-step audited dataset with public metric names, derived search-role labels, and cleaned review notes.",,,,,,,,
Proof Summary,"Formula-driven proof-level rollups by problem, including per-metric rates and overall outcome labels.",,,,,,,,
Aggregate Metrics,"Stable workbook formulas for verdict counts, proof-level counts, search-role distribution, and the key empirical gap between local validity and transport.",,,,,,,,
Process Traces and Patterns,Curated high-leverage steps and cross-problem patterns that extract theory from the pilot without using private vocabulary.,,,,,,,,
