Problem ID,Step ID,Step Summary,Search Function,Positive Contribution,Boundary Information
1,T4,Variance divergence: log N,Resolve,Shows that the Gaussian variance of the cubic smearing diverges logarithmically. This provides the first genuine obstruction signal.,Rules out bounded-variance scenarios in which the score function could exist.
1,T5,Inverse-density bridge,Refine gap,Makes the Gaussian-to-interacting transfer question precise through a Cauchy-Schwarz bridge.,Exposes the real bottleneck: a negative-moment bound is needed and is not established here.
2,A2,Monomiality criterion,Refine gap,Rewrites an analytic nonvanishing condition as a finite shell-isolation target.,Rules out all multi-shell candidates and sharply narrows what a valid test vector must do.
2,A3,GL2 x GL1 base case,Resolve,Closes the rank-one base case through a concrete Gauss-sum calculation.,Shows that the base-case mechanism is highly specific and does not by itself transfer to higher rank.
2,A4,Diagonal shell isolation,Refine gap,Demonstrates that shell isolation is achievable on a diagonal restriction.,Leaves the central bridge question open: diagonal control is not yet full-integral control.
2,A5,Recurrence delta operator,Eliminate (audit),"Invalid as stated; the characteristic polynomial kills the full sequence, including the base term.","Eliminates recurrence-only shell isolation. Any successful operator must use initial-condition data, not just the recurrence."
2,X1,Functional-equation route,Eliminate (agent),The route does not produce a valid identification with the needed Fourier data.,Rules out a tempting but structurally unsupported shortcut.
3,M1,Metropolis-Hastings,Local-only win,Constructs a stationary Markov chain for the target distribution.,Does not touch the actual nontriviality constraint; it solves the easy local task but not the benchmark target.
3,M1-NT,Nontriviality audit,Eliminate,Shows that the Metropolis-Hastings acceptance ratio uses the forbidden F^nu/F^mu dependence.,Rules out the entire family of ratio-based acceptance rules as genuine solutions to this problem.
3,K1,Polynomial-free kernel,Refine gap,Poses a concrete candidate kernel and proves row-stochasticity under explicit assumptions.,Leaves one crisp gap: invariance of the target measure is still unproved.
4,A4+A5,n=3 invariant reduction,Resolve,Finds additive invariants and closes the n=3 inequality through a convexity argument.,Clarifies that the useful structure is genuinely low-dimensional and should not be naively lifted to all n.
4,R1,Fractional free-convolution powers,Eliminate (agent),An explicit counterexample shows that the semigroup or heat-flow route breaks real-rootedness.,Removes an entire proof paradigm from consideration for the general case.
4,n=2,Degree-2 equality,Local-only win,Verifies the quadratic equality case exactly.,Adds no transferable mechanism beyond the degenerate one-parameter setting.
5,T4,Detection lemma bridge,Bridge,Connects equivariant cell data to nonequivariant information in geometric fixed points.,Shows that any successful characterization must pass through this bridge rather than bypassing fixed-point data.
5,T5,Forward direction,Eliminate (audit),Invalid as written because it uses a monotonicity step that fails for incomplete transfer systems.,Rules out the naive forward argument and isolates the missing monotone substitute.
5,T6,Backward direction,Resolve,Closes the reverse implication cleanly through localization plus fixed-point detection.,Rules out counterexamples to the backward direction at the intended scope.
6,T1,Schur-complement characterization,Resolve,Gives the canonical variational characterization of the target notion.,Eliminates alternative formulations that ignore the Schur complement.
6,T3,Raw cut-test counterexample,Eliminate,One graph counterexample shows that raw edge-count conditions are insufficient.,Permanently removes the raw cut-test family and justifies the need for effective conductance.
6,T4,Two-layer bridging bound,Refine gap,Provides an explicit lower bound on the effective cut functional using local data.,Shows that the Schur-complement route is computationally tractable rather than purely existential.
7,T3+T7,Euler-characteristic obstruction,Resolve,Combines integrality from Q-acyclicity with index scaling to force a contradiction under an involution.,"Rules out a full structural class of candidate realizations, not just one example."
7,T8,Ball-quotient existence input,Refine gap,Turns an assumed input into a concrete literature dependency: a surface with the required Euler characteristic and even automorphism group must be located or proved to exist.,"Shows that the remaining gap is not in the obstruction logic above it, but in an external existence premise."
8,T6,Maslov index computation,Resolve,Computes a nonzero local Maslov index at the model vertex.,Rules out local smoothability for this vertex type and provides a durable obstruction.
8,T4+T8,Disk versus Maslov contradiction,Resolve,Combines the smooth-disk index calculation with the nonzero PL index to force contradiction.,Shows that the obstruction is local and does not require global Hamiltonian machinery.
9,T6,Core rigidity,Resolve,Proves that the core tensor is forced into the determinant orbit once all slice constraints are imposed.,Rules out non-determinantal cores and explains why the remaining endgame becomes rigid.
9,T9,Projective-geometry bridge,Bridge,Links the tensor condition to line-preserving incidence geometry and then invokes projective rigidity.,Shows that the geometric bridge is not optional: any proof of core rigidity in this dimension must pass through the incidence structure.
9,T10,Block-scaling endgame,Resolve,Finishes the proof by showing that each block action collapses to a scalar.,Rules out residual block-level freedom and forces rank-one scaling.
10,T2,Scatter-add matrix-free matvec,Resolve,Gives an exact matrix-free matrix-vector product over the observation set with no O(N) operation.,Rules out the need for explicit materialization of the full operator.
10,T5,Kronecker preconditioner,Refine gap,Introduces a separable surrogate whose inverse decomposes into tractable subproblems.,Leaves open whether a sharper preconditioner exists for strongly nonuniform sampling.
10,T11,Without-replacement concentration,Refine gap,Makes the remaining theoretical dependency explicit: concentration for without-replacement matrix sampling.,Shows that the last gap is external theory rather than an algorithmic defect in the method itself.
